,Expected entropy
raise,-5.2947495012809505
slate,-5.317233213664606
crate,-5.337836475140837
irate,-5.3402535768332156
trace,-5.342623349694365
arise,-5.352028998491207
orate,-5.354108032839883
stare,-5.366163835524353
carte,-5.377945122860243
caret,-5.3948455218445694
snare,-5.404374300448161
arose,-5.405247560686832
least,-5.421490448820077
tares,-5.428013451655514
alert,-5.428841268782359
crane,-5.432041137608824
stale,-5.434788638214349
saner,-5.439053910928513
tears,-5.455603653965934
carne,-5.456880150857579
alter,-5.459680121405276
later,-5.4657652429993435
prate,-5.471725228717281
react,-5.476545382224659
toile,-5.48041051127314
trade,-5.489131235955626
leant,-5.48928126929546
slier,-5.50722506210714
rates,-5.517629151537958
learn,-5.520981249088352
roast,-5.524621106990636
cater,-5.5249748391329545
teals,-5.534415333290364
aisle,-5.537410815239523
trice,-5.5387612428069755
reals,-5.540592392644227
parse,-5.542896351104002
scare,-5.544643871029782
laser,-5.546034117689421
saute,-5.550915988080405
tries,-5.552121495174122
tales,-5.556168833816336
litre,-5.559160030028653
heart,-5.560796883257199
alone,-5.561770484466628
store,-5.562338680214515
alien,-5.565991343403659
tared,-5.566033054559834
share,-5.567569752973316
grate,-5.568331386724621
stoae,-5.5714051535452
anile,-5.574972462622314
trail,-5.580025767336755
siren,-5.589206784236079
tiler,-5.589505951860695
snore,-5.595572664968558
taels,-5.599700409418532
noire,-5.600037354546579
caste,-5.601797133812682
toner,-5.605843011335719
anise,-5.60713492882441
scale,-5.609141758221627
anole,-5.609668672403814
cares,-5.612972586376549
atone,-5.61559824451958
caner,-5.615940947111807
dealt,-5.616888316158327
tires,-5.617111977045385
sarge,-5.619227467499834
train,-5.620122610926217
renal,-5.620172958217378
stile,-5.620407830296588
plate,-5.6231578183895765
spare,-5.623481009976756
clear,-5.625601938341743
rinse,-5.626867161511446
sitar,-5.6270091461632035
trial,-5.635035522336906
solar,-5.636107411845839
teary,-5.63758505913829
shale,-5.638551753009407
nares,-5.640589979020223
glare,-5.642783348707775
aster,-5.644649914831025
dater,-5.646340681298495
pearl,-5.646858273082674
aloes,-5.648735100974338
rated,-5.648985557648074
earls,-5.65090012679825
stole,-5.652837537492715
lance,-5.655193107989302
stair,-5.655731892822243
pater,-5.656312619737471
sonar,-5.656970085888225
liter,-5.657613689993571
canoe,-5.65833692579969
tenor,-5.66077819208698
crone,-5.661458996638606
slice,-5.661957800755622
taper,-5.662321379110083
saint,-5.6635136467199585
nears,-5.6640183485571
route,-5.672274216989313
lacer,-5.676162249646569
tesla,-5.678505563846549
slant,-5.68015809475312
tread,-5.680937269814862
sabre,-5.6815803970848835
cleat,-5.6836295604173825
oaten,-5.685415995330955
hater,-5.68694533733474
blare,-5.687008289379315
cadre,-5.687207564273551
earns,-5.689762563016179
spate,-5.690057620067535
tried,-5.69155966478203
steal,-5.6921417203831375
thane,-5.69442671462586
leans,-5.694772423789596
sayer,-5.695598357306401
lanes,-5.695752566386857
liest,-5.696762889336367
sorta,-5.6972445084211145
aired,-5.69801770571105
rouse,-5.699191707829207
sated,-5.700773246943614
plane,-5.703575912965783
taros,-5.707429462976504
paler,-5.707558817602763
loser,-5.707739761383319
rites,-5.7101318118236
suite,-5.711714203871406
lores,-5.712541815061728
tripe,-5.712793179507447
crest,-5.712844795097213
paren,-5.715697580558168
shear,-5.7176216013087
tiers,-5.720429757379806
great,-5.720979678675795
sauce,-5.722352701780445
roles,-5.724567144712083
shire,-5.7262526883274365
large,-5.7283717837265336
sager,-5.729471525628764
tamer,-5.729782727582315
cruet,-5.732171841401899
loner,-5.733144123837458
haler,-5.733328475078385
treap,-5.734325072281337
stone,-5.7351374337605945
noise,-5.735498915187061
alder,-5.735848826792119
dares,-5.736336353785208
races,-5.736712037011226
trans,-5.737689371176022
prise,-5.737824287074515
adore,-5.738201463821754
neato,-5.742257414392738
lapse,-5.742634590250226
score,-5.7429143264684095
noter,-5.744145348335851
cries,-5.744240017014577
tiles,-5.7444373977434235
cared,-5.744536895798416
nates,-5.745386661562108
close,-5.745414386311597
throe,-5.746892361163437
riles,-5.7476062272472195
socle,-5.747902675908805
tarns,-5.748000073567793
table,-5.748307908150006
paste,-5.7496679432370446
horse,-5.750972892243084
oared,-5.751092070610411
shore,-5.752102031775443
pares,-5.752223325472275
stela,-5.755151728580619
truce,-5.755658432568171
leapt,-5.755944056447919
terns,-5.757185555948177
earth,-5.757624926272906
grace,-5.758197447165519
risen,-5.758448711838912
faire,-5.758511321907458
sable,-5.76258945816245
cause,-5.7630052300724826
mater,-5.763163369181885
tired,-5.764347990883976
coset,-5.764373541462192
oiler,-5.766076407291176
trues,-5.7670165658459
niter,-5.76836989279313
hares,-5.768762803131499
aider,-5.771140878626964
liner,-5.771242524205631
rails,-5.771497752907087
dears,-5.772001795106346
sired,-5.773572521659042
drone,-5.774748590129486
tails,-5.774822499227169
haste,-5.775544389844952
pears,-5.776054437319992
lathe,-5.776881746718321
saber,-5.781316977136869
tones,-5.781824484202421
carol,-5.782397254065217
shier,-5.782935735828459
prose,-5.783295305335059
yeast,-5.784765371321808
brace,-5.784849307363457
moire,-5.785886635608639
antes,-5.787322679898623
coast,-5.788029304027996
cores,-5.788103402870983
clone,-5.790140384105178
snarl,-5.790247935229658
recta,-5.790849867192121
slain,-5.79102405664335
spear,-5.79192245768087
place,-5.793952754054673
rials,-5.796022206061838
hears,-5.79611645548826
prone,-5.798264888806418
lairs,-5.798410448221805
flare,-5.7996979098028
beast,-5.800481435580147
realm,-5.800873609687796
spire,-5.801332940722266
roans,-5.803270356733954
lites,-5.804946145967633
canes,-5.804985016419021
elans,-5.805050325248957
satin,-5.805842818566118
cadet,-5.8064033585846015
pleat,-5.806458520750488
range,-5.80653686520642
cairn,-5.806977010020387
panel,-5.807593446466092
paten,-5.807840363351759
meant,-5.808598897689638
shoer,-5.809962488191813
layer,-5.812019575885666
leash,-5.813766215667532
acres,-5.8142714894064875
reins,-5.8145644967341354
drape,-5.81506314491822
stern,-5.8150683790952025
louse,-5.81676982976584
ailed,-5.818272697051938
tuner,-5.818695009070486
urine,-5.819462783343525
tines,-5.819780533143709
yearn,-5.82007715688644
selah,-5.821402360110919
ratio,-5.821697213463437
cruse,-5.822798474775672
prest,-5.822946268794747
coral,-5.823654041410982
liers,-5.8244068527582336
doter,-5.8244885578359415
tonal,-5.824745859128579
unate,-5.82481756162656
slide,-5.825366696035113
snort,-5.82578396962678
padre,-5.827358395346551
braes,-5.829149415153059
tribe,-5.829242897775904
manse,-5.829573770559803
orals,-5.830406544367382
resin,-5.830699491452686
curie,-5.831279286555531
mitre,-5.831416116902276
arson,-5.8318070840840885
maser,-5.832350978191044
liars,-5.832484640554809
since,-5.832549497560329
inert,-5.833673418214409
clean,-5.833986093909655
mares,-5.834215213697269
spore,-5.83463795126571
reads,-5.835276310317797
lager,-5.836368897508988
sidle,-5.837068112533933
talon,-5.83737618741113
snail,-5.837869567489719
curse,-5.838034301891671
cedar,-5.838443712933413
gorse,-5.838824280794503
sware,-5.8395276567378405
triad,-5.839566480476846
laces,-5.840519311803769
baler,-5.840535876375192
salon,-5.8405381680216735
rains,-5.841568592574959
caper,-5.84209403574266
their,-5.843996828696801
rents,-5.846012937546737
rapes,-5.846026046987063
stage,-5.846339537103406
trios,-5.846832642040741
toper,-5.847449886254059
petal,-5.848299244543894
deals,-5.848670690615336
enact,-5.849159051052412
caron,-5.85009904654839
sepal,-5.8501121343878495
inlet,-5.850270978695174
arced,-5.8525278013243325
lamer,-5.853173541782829
cruel,-5.854998463186757
rants,-5.855435975434754
early,-5.855471460761623
trash,-5.855552471718397
price,-5.855669579146908
peats,-5.8560141560035115
peals,-5.856024917016139
lased,-5.856584144181705
smear,-5.856655594067154
deist,-5.857161022538388
nurse,-5.858103430271154
laden,-5.85819713157772
poise,-5.8583263039930635
reaps,-5.859025608148185
gears,-5.859468692044405
dales,-5.860046074923945
dates,-5.860566890568384
torah,-5.860797757764445
spier,-5.860921242356491
carts,-5.861872051521553
dries,-5.862077221221182
merit,-5.862636709982505
osier,-5.863567128013504
toyer,-5.863945535879756
islet,-5.867539345795497
inter,-5.867584577288417
baste,-5.868361597469672
relay,-5.868666380486239
aimer,-5.8688928395253255
groat,-5.869500203956397
poler,-5.870034129488268
soled,-5.871823273752877
spite,-5.871853324190416
baser,-5.871958865796392
pates,-5.872178241407492
tapes,-5.873047626883365
space,-5.874950392716147
pacer,-5.875444888148262
bares,-5.875507291912526
raced,-5.875692461433363
nerts,-5.87583970537759
onset,-5.876356315548429
pries,-5.876651028641881
resay,-5.876744100306496
heist,-5.876920907641441
pales,-5.877671436069058
astir,-5.879473333620169
reach,-5.880184845901525
those,-5.880596662702585
dance,-5.880909272350854
safer,-5.880950214124345
years,-5.881193140028726
cried,-5.8812489875794
pared,-5.882279322406689
tapir,-5.882492909611617
slope,-5.8834801927259175
slake,-5.885802942222187
heals,-5.885979819310964
sedan,-5.88740056122353
ureas,-5.888200358110642
pause,-5.888299084999406
feast,-5.888718883050123
taupe,-5.888986459812321
outer,-5.889080083951318
chase,-5.8898424908825024
heats,-5.890664472588047
riled,-5.890727109738538
sited,-5.891567033432226
lines,-5.8926742673443515
peril,-5.893278851587375
haute,-5.894253781669441
hales,-5.894324085534006
poset,-5.894486965010082
arity,-5.8948226438914215
stein,-5.894932002862517
morel,-5.895323740911477
blear,-5.895575975004532
rages,-5.896231260433147
holer,-5.896427414503503
stain,-5.897052020660591
tiled,-5.897211781648938
tilde,-5.897257172514047
liras,-5.897557960432662
inset,-5.89762362578348
slime,-5.898082696399698
doser,-5.898102830488032
grade,-5.898695713050883
hates,-5.8995847194271684
thine,-5.899918687911139
shine,-5.900965425372349
latin,-5.9011213474307835
spiel,-5.90256923003545
neath,-5.9028396842957775
shalt,-5.902903199077349
reams,-5.903046800934724
agile,-5.904202632025215
false,-5.904599328858617
hotel,-5.906110658275264
trued,-5.90729648947527
slyer,-5.90915268891545
canst,-5.909331499091973
sprat,-5.909374825928236
sawer,-5.909797222912397
bears,-5.911101959740955
chore,-5.912137191132713
regal,-5.912480228342745
tiros,-5.912611852783514
trend,-5.912987066234962
eclat,-5.913712103854647
water,-5.914317753971845
penal,-5.914462514043404
enrol,-5.9146746734701345
farce,-5.914790186118981
cuter,-5.915139692830666
laird,-5.915384108223512
poser,-5.9155625867704735
anted,-5.91562502745967
saith,-5.915778825025426
cored,-5.915966382833635
shone,-5.916000677653915
roust,-5.916163034839344
ceils,-5.916449382267385
lades,-5.916600054185746
riots,-5.9167189451441375
cager,-5.9175893812572475
brine,-5.9180723375337
doest,-5.918077614015431
teach,-5.918620612091718
cotes,-5.918710999298359
toned,-5.919254601278349
anode,-5.919279678923271
plait,-5.919840560513547
notes,-5.920411442217599
heard,-5.9206198807763215
scone,-5.92102169643873
cable,-5.921180171296669
tames,-5.9221231452989125
loans,-5.9222501241347265
lento,-5.9225446377746085
timer,-5.9229303956781445
lures,-5.923095989076461
borne,-5.923474830599626
pores,-5.92405970569755
afire,-5.924415188446104
deans,-5.925179281876807
taker,-5.925524057672833
grape,-5.925742631772715
